班级,学院,人数,学时,周数,楼层,空闲时间,结果
化学强基班+基地1-2班+化工1-2班,化学化工学院,143,126,18,600,,
化学1-4班,化学化工学院,124,126,18,600,,
第二临床医学类1-5班,第二临床医学院（临床医学类）,126,36,5,500,,
第二临床医学类6-10班,第二临床医学院（临床医学类）,126,36,5,500,,
第二临床医学定向1-5班,第二临床医学院（医学定向）,120,36,5,500,,
第一临床1-5,第一临床医学院（临床医学类）,125,36,5,500,,
第一临床6-10,第一临床医学院（临床医学类）,125,36,5,500,,
第二临定1-5,第二临床医学院（医学定向）,125,36,5,500,,
第一临床药学,第一临床医学院（临床药学）,15,36,5,500,,
应用化学（放射化学方向）,核科学与技术学院（核科学与技术（原子核物理）、应用物理（原子核物理））,40,126,18,400,,
核工程类（核化工与核燃料工程）,核科学与技术学院（核工程类）,30,126,18,400,,
2022生态学班,生态学院,30,54,8,500,,
草业科学-有机,草地农业科技学院,68,54,8,500,,
动物科学-有机,草地农业科技学院,22,54,8,500,,
草业科学-分析,草地农业科技学院,68,36,5,400,,
动物科学-分析,草地农业科技学院,22,36,5,400,,
预防医学1-2班,公共卫生学院,89,36,5,500,,
2022级基础医学班,基础医学院,35,36,5,500,,
口腔医学1、2、3班,口腔医学院,86,36,5,500,,
"2022级生物科学基地1班
2022级生物科学基地2班",生命科学学院,59,54,8,500,,
"2022级生物技术基地1班
2022级生物技术基地2班",生命科学学院,53,54,8,500,,
"2022级生物信息学班
2022级生物强基班",生命科学学院,45,54,8,500,,
2022环境科学与工程类1,资源环境学院,33,36,5,500,,
2022环境科学与工程类2,资源环境学院,26,36,5,500,,
